Multiplier,Breadth,Full_Trading_CAGR,Full_Std_MaxDD,Full_Calmar,Return_2022
1.5,440,0.2680065800609299,-0.32996623965853755,0.8122242455418288,-0.14388507972271355
1.5,450,0.27322948694107785,-0.16820389372203415,1.624394542213179,-0.10374006656527325
1.6,150,0.26604191772679076,-0.19094125989611635,1.393318122398133,-0.08655562612551258
1.6,160,0.26496890338962564,-0.20396032513390897,1.2991198323284778,-0.10131643307656231
1.6,170,0.25732427974964156,-0.24229154715732007,1.0620439828326356,-0.13900790158816514
1.6,180,0.2629470114658463,-0.2216143020260985,1.1865074097739425,-0.118390334158197
1.6,190,0.26722313896621497,-0.17849524431750635,1.4970882837129258,-0.07906141574530348
1.6,200,0.26984644528797275,-0.18562930713921816,1.453684493287439,-0.08890052350226753
1.6,210,0.2686718376501669,-0.18744510828317118,1.4333360849528676,-0.09077373927699423
1.6,220,0.27339405351393187,-0.17690191762230664,1.545455567630647,-0.07989717874190884
1.6,230,0.27795952368077237,-0.13960921046942967,1.9909827062709258,-0.041425296755452784
1.6,240,0.2771184131396145,-0.1457201306214323,1.9017167494829046,-0.047729440832543844
1.6,250,0.2769798783455333,-0.14672480508056418,1.887750869346517,-0.048765882544004484
1.6,260,0.28033507674903313,-0.12730518891503925,2.2020710949663074,-0.02351427264718898
1.6,270,0.278657437684352,-0.13612531396631058,2.0470655278217866,-0.0380188211867655
1.6,280,0.2788095166533966,-0.13501757840166484,2.064986796193041,-0.03687612647643202
1.6,290,0.28042371926446297,-0.12699572047511973,2.2081351892436563,-0.0247076477944005
1.6,300,0.27946670053138534,-0.13022352214153018,2.146053922790185,-0.031930774079762365
1.6,310,0.10553679943734506,-0.2869790374145772,0.3677509005122347,-0.1104923897083478
1.6,320,0.22910847321696282,-0.2423910737404539,0.9452017753025272,-0.1222662893105563
1.6,330,0.2807420835309431,-0.14448343915230974,1.9430744809098428,-0.044186719894742925
1.6,340,0.25613424228835746,-0.2850161779351136,0.8986656271373783,-0.18815696637257104
1.6,350,0.25559406999196255,-0.29066073396683023,0.8793553449883277,-0.08225584479630241
