roc,reb,atr_p,atr_m,mkt_t,Full_CAGR,Full_Calmar,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
8,7,10,4.0,0.45,0.31197886950144627,1.3260760835495116,0.6681505324083328,0.09579514700101321,-0.09657191754122163,0.302119436035019,0.7971743968511535,0.22253950483611362
8,7,10,4.0,0.48,0.31034296298074815,1.3817685922378653,0.6681505324083328,0.09579514700101321,-0.08500774724580296,0.2983010861010731,0.7893615873158284,0.20711443308961863
8,7,10,4.5,0.42,0.32291457914975097,1.6342781849817405,0.835350716491666,0.09089310073013346,-0.06348253994480468,0.2790716473915078,0.6932383907825581,0.22076937826413667
8,7,10,4.5,0.45,0.31462698484930374,1.3417484905202148,0.7126182216416661,0.09721210692178595,-0.0950295064734471,0.30730032786101824,0.747232635082389,0.2307224949455844
8,7,10,4.5,0.48,0.31300664466687245,1.396461442031411,0.7126182216416661,0.09721210692178595,-0.0837745458063951,0.3035254348068934,0.7401447571514606,0.21532687373319126
8,7,15,3.5,0.42,0.3165167265819533,1.7849779803557053,0.7415874629916663,0.1578947347959807,-0.060591541073605204,0.26691656324667745,0.6578315813314792,0.20692799258297634
8,7,15,3.5,0.45,0.31004858005401004,1.5155556938470809,0.6473264219916661,0.16664910269627042,-0.08385854731591169,0.28684240444119413,0.6962409996906631,0.214112575865411
8,7,15,3.5,0.48,0.3084012121622559,1.5880193505656746,0.6473264219916661,0.16664910269627042,-0.07286977765497793,0.28344261762007195,0.6897699803738413,0.1987110397828855
8,7,15,4.0,0.42,0.3166050979230828,1.7872125590018244,0.7403237464583328,0.11930400869455382,-0.046722298894969594,0.26347688095306987,0.6949348857220154,0.21189737351891158
8,7,15,4.0,0.45,0.3082261321291546,1.3742325358848235,0.6460627054583326,0.12592366011813483,-0.09084106332464292,0.29002866790908244,0.749589094349121,0.22153291014464926
8,7,15,4.0,0.48,0.3065678535133223,1.43474721716212,0.6460627054583326,0.12592366011813483,-0.0794418258654691,0.28643725375584683,0.7423253833747356,0.20587273877485468
8,7,15,4.5,0.42,0.3194469569410898,1.6352440349316046,0.7736021682666658,0.08421667745074668,-0.055607662546371284,0.28872500177805516,0.718782658656993,0.2136627168473546
8,7,15,4.5,0.45,0.3101544601330055,1.2773890258746685,0.6508696734166661,0.09028373886662155,-0.09806153159774422,0.3225202540831653,0.7828345463781352,0.2244653342935361
8,7,15,4.5,0.48,0.308507723443884,1.3295158334545365,0.6508696734166661,0.09028373886662155,-0.0863189849061361,0.31837525262204625,0.775151472587301,0.2088824540568659
8,7,20,3.5,0.42,0.30714984237617826,1.662353006587085,0.7170491941083332,0.15919343267887776,-0.06698509855544965,0.2033246709221519,0.7048075251166075,0.21068993490305643
