roc,atr_p,atr_m,reb,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
10,20,2.0,9,0.4,14,0.25496853905837513,1.5969932675695733,0.370860475516666,0.4572108132727064,-0.01626107751551531,0.04947313533560416,0.349452366273155,0.28447130773305296
10,20,2.0,9,0.4,20,0.2552196236682729,1.7070439603052994,0.370860475516666,0.4572108132727064,0.029633362554768894,0.05756080038707201,0.3312087535426944,0.2353306802892836
10,20,2.0,9,0.4,30,0.2473002026083817,1.5731154940987986,0.30083966146666596,0.4807408180183863,0.00034022377153175576,0.061318408041145966,0.35171707580695544,0.24615130325004064
10,20,2.0,9,0.45,14,0.25921086868211773,1.7337395199846684,0.370860475516666,0.4572108132727064,0.018288539615165522,0.04779455621229811,0.338063989089451,0.27751755534189626
10,20,2.0,9,0.45,20,0.2591644615483648,1.7334291245054751,0.370860475516666,0.4572108132727064,0.061772523965712756,0.055818472522273455,0.32165533484273845,0.23017669878280111
10,20,2.0,9,0.45,30,0.24807027898924083,1.5780140711059811,0.30083966146666596,0.4807408180183863,0.006604768042159481,0.06093679661432416,0.34964021757764674,0.24507031353095088
10,20,2.0,13,0.4,14,0.1831009995934496,0.7705290003183441,0.2359200001916666,0.042399164156328384,0.03373014917799266,0.3188787123081327,0.26378736959109683,0.15437392801023653
10,20,2.0,13,0.4,20,0.1932277894926595,0.8131447441689924,0.2359200001916666,0.042399164156328384,0.03373014917799266,0.3280716800740142,0.2619413338101084,0.20531742278841114
10,20,2.0,13,0.4,30,0.18361623085363643,0.685472141683398,0.08228781091666648,0.04807703728159507,0.06268186088564143,0.3603747481763939,0.2811244150412475,0.21716026054195536
10,20,2.0,13,0.45,14,0.19092788368536007,0.8034662381725227,0.2359200001916666,0.042399164156328384,0.043682607650750604,0.31583791511669856,0.2618546721965156,0.1917626119586635
10,20,2.0,13,0.45,20,0.20038341842554908,0.8432571936943944,0.2359200001916666,0.042399164156328384,0.03996202222685974,0.3261057418787212,0.26074471093008755,0.2427299666801599
10,20,2.0,13,0.45,30,0.18940129802522332,0.7070688293261748,0.08228781091666648,0.04807703728159507,0.05169002585962135,0.36414123799953413,0.2833039248407261,0.2592432332046002
10,20,3.0,5,0.4,14,0.23956045604926657,1.211458311828631,0.547218355958333,0.43468793705128883,-0.059307473865847005,0.1702649656187829,0.1609759402104074,0.16369147084978763
10,20,3.0,5,0.4,20,0.2505465906509412,1.267015244293853,0.547218355958333,0.43468793705128883,-0.0332384988617519,0.1801707946159885,0.15527700401560351,0.18641544343149685
10,20,3.0,5,0.4,30,0.24161732844093486,1.1725598649833506,0.4588084341166665,0.45973117313703193,-0.05969932573223191,0.19257527028079569,0.16431416553951816,0.19575004014365982
10,20,3.0,5,0.45,14,0.2344640301161911,1.1732185408332965,0.5241789317916667,0.44094749973361247,-0.08455744926405362,0.17671515463892096,0.1662010289656135,0.16825553524334058
10,20,3.0,5,0.45,20,0.24894080046384248,1.2588947560409272,0.547218355958333,0.43468793705128883,-0.044593200526278576,0.182312066399539,0.15684997231642472,0.18805055277189608
10,20,3.0,5,0.45,30,0.23995602722456066,1.1644976322679326,0.4588084341166665,0.45973117313703193,-0.07150359887574353,0.1950235415808539,0.16607659530826746,0.19755379508411708
10,20,3.0,9,0.4,14,0.2944608202021173,1.7881168738428028,0.6574879749416664,0.3673333647492263,-0.019863251938495363,0.10454583493465597,0.3264194950403203,0.30946679186316084
10,20,3.0,9,0.4,20,0.2946471856992843,1.9131494060389442,0.6574879749416664,0.3673333647492263,0.020588272692089404,0.10930778942818109,0.3120599617833868,0.26647037966357745
10,20,3.0,9,0.4,30,0.28912763918504814,1.8012184483128262,0.587467160891666,0.38285135680877613,0.005458544163406964,0.11435866703437991,0.3250715602043224,0.27488208876438414
10,20,3.0,9,0.45,14,0.2998240919933224,1.9467631504840262,0.6574879749416664,0.3673333647492263,0.024784984820520384,0.099990940728093,0.31342155432571595,0.3000554262537771
10,20,3.0,9,0.45,20,0.29805979484955936,1.9353075378174542,0.6574879749416664,0.3673333647492263,0.048915845213513665,0.1063557658256078,0.3044029114216551,0.2614426119712434
10,20,3.0,9,0.45,30,0.2897867517685415,1.8053246131480172,0.587467160891666,0.38285135680877613,0.01095732863550225,0.11373664902755953,0.32347523843162174,0.27385891596849676
10,20,3.0,13,0.4,14,0.22167432472180626,1.0899818111446873,0.34476621494166704,0.01894346683525394,0.026548020048118737,0.48951083860981903,0.37739879831418066,0.07110706075395079
10,20,3.0,13,0.4,20,0.22795180228837286,1.1208484276372075,0.34476621494166704,0.01894346683525394,0.028019704764760567,0.46850589750742544,0.3823022502089215,0.11353317093156146
