ROC,ATR_P,ATR_M,Full_CAGR,Full_Calmar,2020_CAGR,2020_Calmar,2021_CAGR,2021_Calmar,2022_CAGR,2022_Calmar,2023_CAGR,2023_Calmar,2024_CAGR,2024_Calmar,2025_CAGR,2025_Calmar
12,10,2.0,0.24881821843809804,1.6850068547211048,0.6570163085625722,4.9249874990644384,0.4880773723598546,3.608130681594832,0.0021848925971912347,0.02790451235301674,0.0019076183841044703,0.014967928423556952,0.33052919274966186,2.238356817136251,0.2120366990263547,3.1621559491639086
12,10,2.5,0.2973199571695577,2.5798603748665583,1.2193459006088099,10.942391246936195,0.446611882926929,3.8752740000249757,0.004469694277033032,0.04816901528443775,0.045924373720420464,0.44589590715852556,0.27803518775983305,2.5410196980601514,0.24968338606013885,4.034335256029108
12,10,3.0,0.320064397796763,2.7880424586814287,1.2162529473022894,10.78668553346618,0.4923729766635343,4.289001756818257,-0.0009561876453139107,-0.010146476459728812,0.11931487838027754,1.317840062660871,0.27454685895825603,2.696604318213742,0.26247638938528306,3.833064820145022
12,10,3.5,0.3296491295755357,3.0509493245146837,1.416239434342529,13.435245790301693,0.4629172752305142,4.284364863906284,0.04465107222051534,0.5196206262429117,0.10781975718432801,1.1667346843217439,0.2484822948946126,2.508412446480555,0.2461830136071137,3.9497499353615377
12,10,4.0,0.32805358155238307,2.570750434309094,1.5365103186484568,13.562570852932463,0.401735039148408,3.148145865321215,0.04990152633089773,0.6994430108248948,0.10016618907921071,1.057877898875313,0.2648205872740965,2.5865634938833257,0.2338945637010068,3.7533753388663422
12,15,1.5,0.2130558919037635,1.0787396529997435,0.4615724592573127,2.3425424147189213,0.470764460309844,2.3835637025642007,0.025226778049908027,0.21290428713142406,-0.01706755360700618,-0.1266063385825985,0.3126689990771052,2.0526707877279904,0.14887449269245856,2.0582741610232937
12,15,2.0,0.24905638296138033,1.763686394130589,0.7289078715064077,5.707414943353827,0.4956166723810542,4.11258348736683,0.003067265592566537,0.04101609867887948,0.004244253476448634,0.034898691200388805,0.31964658486978803,2.2635691001445726,0.17755563303281208,2.4528663679606053
12,15,2.5,0.2722399011243266,2.2714845576842158,1.1075600792495077,9.594657113442258,0.3598485165845058,3.0024634344617662,0.0037335093273094255,0.0564143889895067,0.010280856638264835,0.09183119786009866,0.27162792280247294,2.278247619309327,0.28265466056940114,3.9615561351271382
12,15,3.0,0.31854863314370396,2.794477393261969,1.2765238115993722,11.483149864463789,0.4737425775872983,4.155920903594451,0.009092340334621918,0.10658810027769336,0.09104380707086923,1.0286712994438685,0.27505961971410287,2.8285608803831597,0.2650381115411313,3.9947457209101014
12,15,3.5,0.3222228850033506,2.5806861379997756,1.2401403242503193,9.93229560319425,0.49068717901610537,4.3085143406934,0.018948941445146694,0.20135774604552334,0.1081272213042821,1.09423694111054,0.2701797965060653,2.4641843397609393,0.258357019623638,3.9832523985617234
