roc,reb,atr_m,mkt_t,Full_CAGR,Full_Calmar,Full_MaxDD,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
9,9,4.5,0.4,0.33426124835337934,2.6811665223783256,-0.1246700813110531,0.7658704614666663,0.43269337083440096,0.03391818573648564,0.21159305729013345,0.24532107296576133,0.2686678289975106
9,9,4.5,0.42,0.34401376549943774,2.759393126897222,-0.1246700813110531,0.7658704614666663,0.43269337083440096,0.07835889186057732,0.2028730059715007,0.23689106159484208,0.2860360219509701
9,9,5.0,0.38,0.3252439308729518,2.5934265456000904,-0.12541088986104054,0.7846908112666664,0.41337808325931813,0.023242649826614503,0.19429888394023243,0.22620791940439644,0.27468386498462505
9,9,5.0,0.4,0.3240453715620959,2.5838694863033744,-0.12541088986104054,0.7846908112666664,0.41337808325931813,0.013375655572983591,0.19619072529322135,0.22805511482918783,0.2765048437757698
9,9,5.0,0.42,0.33415084428373487,2.6644483956216654,-0.12541088986104054,0.7846908112666664,0.41337808325931813,0.05796636658177334,0.18792176305539487,0.21993866432971165,0.29451249137153646
9,9,5.5,0.38,0.3279526824838772,2.583900475432749,-0.12692156126057913,0.7821902587249996,0.41915532500369634,0.019232716041006626,0.20323177294747619,0.2235809381674796,0.2843764004599736
9,9,5.5,0.4,0.32676566028175746,2.574548067612279,-0.12692156126057913,0.7821902587249996,0.41915532500369634,0.009392585575541235,0.20521299134466786,0.22539517518609498,0.2862538429350605
9,9,5.5,0.42,0.33700224255370514,2.655200891059126,-0.12692156126057913,0.7821902587249996,0.41915532500369634,0.05780854788313561,0.1958203801071663,0.216741721373237,0.3018251820308837
9,9,6.0,0.38,0.32835175208119627,2.601282174556047,-0.12622688737612062,0.7912997699749993,0.42161684764368723,0.01892327367033042,0.2135903928939329,0.21563772900649236,0.2758164179188882
9,9,6.0,0.4,0.32716641817788994,2.59189167204152,-0.12622688737612062,0.7912997699749993,0.42161684764368723,0.009148166942257063,0.2156593347550233,0.217361347335693,0.27762200324987196
9,9,6.0,0.42,0.33985946126822175,2.692449036278112,-0.12622688737612062,0.7912997699749993,0.42161684764368723,0.057426548086510154,0.2058130872029258,0.20910638968944895,0.3069194835716009
9,11,4.0,0.38,0.3204654890291321,1.718951250433704,-0.18643081876130943,0.7894688548000004,0.40302331842599304,0.03344959380987733,0.21412221596881853,0.3708444488874225,0.1439507650012377
9,11,4.0,0.4,0.3152666014025869,1.691064833042589,-0.18643081876130943,0.7894688548000004,0.40302331842599304,-0.010099616714381865,0.22354220773626987,0.3841784848145222,0.14772447450968396
9,11,4.0,0.42,0.3225978918433854,1.7303892885672136,-0.18643081876130943,0.7894688548000004,0.40302331842599304,0.05154776206554135,0.21043696263874878,0.36557147982275895,0.14243860392183216
9,11,4.5,0.38,0.3428761160803542,2.1059615047683073,-0.16281214794478238,0.8879524612333338,0.37580282206679505,0.04504513709385649,0.22507493405603207,0.34624114562179664,0.20843601363784758
9,11,4.5,0.4,0.33777375017758704,2.074622529346783,-0.16281214794478238,0.8879524612333338,0.37580282206679505,0.0002938479529925875,0.2351443686255985,0.3587143667949013,0.21401123713125814
9,11,4.5,0.42,0.3427987479782937,2.1054863061849267,-0.16281214794478238,0.8879524612333338,0.37580282206679505,0.056348518795319436,0.22266653583726237,0.3432266566094273,0.2001405169078112
9,11,5.0,0.38,0.3435667539845313,2.1097615169445,-0.16284625121142035,0.8800336576833332,0.34277969238436246,0.047014884494812614,0.21996630246595594,0.38686600457212506,0.21301748575170043
9,11,5.0,0.4,0.33841023971221174,2.078096592305707,-0.16284625121142035,0.8800336576833332,0.34277969238436246,0.00037544123150135,0.23022155810385136,0.40144507785300765,0.21879619534802308
9,11,5.0,0.42,0.3434240766695986,2.1088853695731524,-0.16284625121142035,0.8800336576833332,0.34277969238436246,0.058046677605057884,0.21767280937969358,0.3835711032382938,0.204753919231911
9,11,5.5,0.38,0.33977039130217945,1.645634072677867,-0.2064677664028226,0.892806884933333,0.3004234315711716,0.03101143233891812,0.22713588448171662,0.3881428531945885,0.23474458215399752
9,11,5.5,0.4,0.3345436941980835,1.6203192393014136,-0.2064677664028226,0.892806884933333,0.3004234315711716,-0.016819466952861517,0.23818585267272985,0.40330476644035484,0.24133880218800097
9,11,5.5,0.42,0.3401937409888711,1.6476845122891801,-0.2064677664028226,0.892806884933333,0.3004234315711716,0.04757317787632909,0.22354494992874607,0.38315523752787684,0.22538657586081623
9,11,6.0,0.38,0.34127576784155766,1.6536817248286435,-0.2063733079452886,0.9011099804333329,0.3437053825657026,0.029884116138654715,0.21817122835216263,0.36233007013209795,0.23063752418948846
9,11,6.0,0.4,0.33607703932864075,1.6284908289483724,-0.2063733079452886,0.9011099804333329,0.3437053825657026,-0.016208051866691497,0.22839288642755307,0.3760716826446038,0.2370516923652195
9,11,6.0,0.42,0.34162485141733767,1.6553732399729981,-0.2063733079452886,0.9011099804333329,0.3437053825657026,0.045843815184148484,0.21484190986852947,0.357803088718305,0.22103236043494334
10,7,4.0,0.38,0.3037052815123653,1.4762587273280858,-0.2057263241803477,0.6997145185250004,0.1677115617317333,0.06898702688340386,0.058522558972176064,0.5580455397866693,0.288880621242978
10,7,4.0,0.4,0.29912630542203233,1.407369131325787,-0.21254289209842603,0.6997145185250004,0.1677115617317333,0.024630787397890153,0.0610559989907673,0.5810197510602344,0.29650122114753685
10,7,4.0,0.42,0.3013055538549687,1.4398799848291033,-0.20925740827679476,0.6997145185250004,0.1677115617317333,0.04564907404399898,0.059828730187009294,0.5699020804549384,0.29284068452701484
10,7,4.5,0.38,0.30117479984551965,1.5026879834191593,-0.20042404222880517,0.7853279950749998,0.14463817249980515,0.06712649447363339,0.05486225262633471,0.5096433834947078,0.28660091090119044
