roc,reb,atr_p,atr_m,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Full_MaxDD,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
8,5,10,2.0,0.4,14,0.21228532804294575,1.1286545319476633,-0.18808707362084964,0.5003622576499993,0.3029082553212674,0.012281787508255704,0.1634314109487578,0.2248651768047074,0.039114585583499784
8,5,10,2.0,0.4,20,0.22096975004971253,1.1694854538193975,-0.18894612953761175,0.5003622576499993,0.3029082553212674,0.025706767672739828,0.15306860774327724,0.2239104418712059,0.07871579371571968
8,5,10,2.0,0.42,10,0.20394343662974856,1.0189987874066584,-0.2001410003134376,0.4394503242833332,0.31518171149361884,-0.003676218107972251,0.17122826987796613,0.23408539620475954,0.03190281107186088
8,5,10,2.0,0.42,14,0.21135128812032256,1.1187087479126558,-0.18892431878688054,0.5003622576499993,0.3029082553212674,0.005700007663605788,0.16450098394107004,0.22613702809685243,0.0392943598780342
8,5,10,2.0,0.42,20,0.22134356164577063,1.1736110751395417,-0.18860043700546453,0.5003622576499993,0.3029082553212674,0.028438150353681024,0.15266207970457857,0.22339125683248895,0.07856714068070425
8,5,10,2.5,0.35,10,0.22995551295263872,1.291158005308949,-0.17810021082401517,0.568558757991666,0.27735929711303875,-0.04318750744516997,0.18264952195698636,0.27763201956945105,0.09042692398087593
8,5,10,2.5,0.35,14,0.23653461522575925,1.3652758255931503,-0.17325042368123358,0.6294706913583328,0.26745188396326913,-0.031176886969641937,0.17525872807072296,0.26801376050199854,0.09363217081495123
8,5,10,2.5,0.35,20,0.23908561649517646,1.3800001836363422,-0.17325042368123358,0.6294706913583328,0.26745188396326913,-0.010360750461358537,0.1715796169118753,0.26318219263911513,0.0908718737435017
8,5,10,2.5,0.4,10,0.226739762674383,1.2731021576298396,-0.17810021082401517,0.568558757991666,0.27735929711303875,-0.007728694989142637,0.1782918857999194,0.2692157723445814,0.04863724482414522
8,5,10,2.5,0.4,14,0.23339949433896767,1.3471799339919848,-0.17325042368123358,0.6294706913583328,0.26745188396326913,0.0032712606582170345,0.17131102996508862,0.2601623098710626,0.052879722945375685
8,5,10,2.5,0.4,20,0.24262324949663938,1.4004193718050932,-0.17325042368123358,0.6294706913583328,0.26745188396326913,0.024087397166500102,0.1600672767129241,0.2573276418435919,0.08926943466504622
8,5,10,2.5,0.42,10,0.22408210867489098,1.2581799181378372,-0.17810021082401517,0.568558757991666,0.27735929711303875,-0.021308293292769065,0.18076573141786634,0.2723993061861434,0.04529004154170102
8,5,10,2.5,0.42,14,0.23207720943736998,1.3395477165722423,-0.17325042368123358,0.6294706913583328,0.26745188396326913,-0.006248386213812851,0.17295210454341103,0.2622999658608658,0.05322277617581661
8,5,10,2.5,0.42,20,0.24296729085485524,1.4024051756542595,-0.17325042368123358,0.6294706913583328,0.26745188396326913,0.026661219709897654,0.15966599072164023,0.25676803841416573,0.08911547480906568
8,5,10,3.0,0.35,10,0.25601490513341996,1.6378422276827416,-0.15631231189809777,0.6403828570749999,0.30159753509600407,-0.009883685572840806,0.2059373262844446,0.2571582828278549,0.11599712865442857
8,5,10,3.0,0.35,14,0.26198194949817144,1.7502388080060973,-0.14968354506813036,0.7012947904416666,0.2912597446454632,0.0005280572048820265,0.19834080524221043,0.24919848345993145,0.11828028568714632
8,5,10,3.0,0.35,20,0.26430010539498583,1.7657258536647185,-0.14968354506813036,0.7012947904416666,0.2912597446454632,0.02012166061468701,0.19453813137665943,0.2451770026537734,0.11544581726031211
8,5,10,3.0,0.4,10,0.24898249412040907,1.5928527388343172,-0.15631231189809777,0.6403828570749999,0.30159753509600407,-0.007338273972482212,0.20749138976268666,0.2566567728667388,0.0790185200828113
8,5,10,3.0,0.4,14,0.25510773320676305,1.704313811452338,-0.14968354506813036,0.7012947904416666,0.2912597446454632,0.0030051791106133763,0.1998423564453049,0.24872751097450774,0.08221306067785128
8,5,10,3.0,0.4,20,0.26361568285475867,1.761153390205788,-0.14968354506813036,0.7012947904416666,0.2912597446454632,0.02259878252041836,0.18869686587565537,0.24623560050175142,0.11584577233505255
8,5,10,3.0,0.42,10,0.24672118604902527,1.5783861364027827,-0.15631231189809777,0.6403828570749999,0.30159753509600407,-0.01878564276157979,0.20991209472042982,0.25914585132094015,0.07610686783185394
8,5,10,3.0,0.42,14,0.254064272233927,1.6973426980119053,-0.14968354506813036,0.7012947904416666,0.2912597446454632,-0.004677884087421202,0.20138497408603273,0.2503345468701763,0.08263787386060373
8,5,10,3.0,0.42,20,0.2641010295844195,1.7643958757404534,-0.14968354506813036,0.7012947904416666,0.2912597446454632,0.026298938464908383,0.18801654964048486,0.2454842526144374,0.1155619712141549
8,5,20,2.0,0.35,10,0.2113164161883363,0.9932240915335433,-0.21275804522830555,0.5344072022083328,0.3109216688538661,-0.049530420876637726,0.1713090339270531,0.2357201697367024,0.05254683247330294
8,5,20,2.0,0.35,14,0.21837968945755493,1.0856977234772331,-0.2011422560214425,0.5953191355749989,0.29950703647823484,-0.03730927208852075,0.1643160763753524,0.2274036113551443,0.05700342023144023
8,5,20,2.0,0.35,20,0.22111417247527032,1.1072831119917657,-0.19969072957098855,0.5953191355749989,0.29950703647823484,-0.016442357219633164,0.16083694282220984,0.2232300743923623,0.05464959839189132
8,5,20,2.0,0.4,10,0.2098291918771309,1.019237036509555,-0.20586888462737274,0.5344072022083328,0.3109216688538661,-0.0014978241756062882,0.16520650368528966,0.2259756011300873,0.010053018742524067
8,5,20,2.0,0.4,14,0.21693290222910977,1.1135997551146906,-0.19480329555816728,0.5953191355749989,0.29950703647823484,0.009350935865582777,0.15876127205631652,0.2183212718499934,0.015541351019123129
8,5,20,2.0,0.4,20,0.22650982054208457,1.1637831764141873,-0.1946323208073858,0.5953191355749989,0.29950703647823484,0.030217850734470364,0.146999045685684,0.21607930732792102,0.05321500735059859
8,5,20,2.0,0.42,10,0.2078697675530119,1.0027486423667942,-0.20729997406167067,0.5344072022083328,0.3109216688538661,-0.011688077234101701,0.16690990930115124,0.2279849682707693,0.007943974095306672
