ROC,ATR_P,ATR_M,REB,MKT_T,MKT_S,Full_CAGR,Full_MaxDD,Full_Calmar,2020_CAGR,2020_Calmar,2021_CAGR,2021_Calmar,2022_CAGR,2022_Calmar,2023_CAGR,2023_Calmar,2024_CAGR,2024_Calmar,2025_CAGR,2025_Calmar
12,10,3.5,9,0.45,14,0.3282106503865496,-0.10793928175288707,3.040697001652699,1.4198850805568783,13.485238894247612,0.46242793463235277,4.284148709558965,0.03271736982005091,0.38100949072149537,0.10897282768469596,1.1688726277429848,0.250883149562932,2.5104420446487707,0.24809158762275452,3.951139022548994
12,10,3.5,9,0.45,20,0.32783044954849294,-0.10804805144640453,3.0341171836042586,1.416239434342529,13.435245790301693,0.4629172752305142,4.284364863906284,0.045292958760320357,0.5270904913369269,0.10635268435094147,1.1501215752355602,0.24865624634896943,2.5085594992889364,0.23709592288420756,3.8020607924009835
12,10,3.5,14,0.42,14,0.2455364161928002,-0.23029269136364558,1.0661928293898129,1.1690901042930446,10.018927827486658,0.02331687924927328,0.11396767780187265,-0.1150854619398255,-0.5920000342908294,0.31519364702477404,1.3686654368334465,0.24013421505861499,1.5265819792811828,0.3509227790221201,3.5051774198921675
12,10,3.5,14,0.42,20,0.25409082615856593,-0.22824100307500028,1.1132567011855945,1.1690901042930446,10.018927827486658,0.02331687924927328,0.11396767780187265,-0.11280520715031361,-0.5784450307806945,0.3143914521905451,1.377453866548403,0.23966504559916446,1.5261821837920564,0.40298677583465725,4.031173002774577
12,10,3.5,14,0.45,14,0.24470743222354296,-0.24038148430058356,1.0179961777652977,1.1852055027248833,10.219857361079342,0.02319730614661153,0.11396758136100553,-0.12688916252804538,-0.620013206176807,0.31778865132874823,1.322018009221423,0.24164812372239464,1.5278720314740388,0.35273380917776875,3.506581224308709
12,10,3.5,14,0.45,20,0.2527199641910638,-0.23944457618963044,1.055442425185358,1.1690901042930446,10.018927827486658,0.02331687924927328,0.11396767780187265,-0.12525606923101062,-0.6073959799322561,0.31882238960045384,1.3315080870654568,0.24224958895341708,1.5283845594184893,0.40654299410084294,4.033933023236806
12,10,4.0,5,0.42,14,0.29448758686525744,-0.19776119495102687,1.4891070360804792,1.0459486618379712,8.651218514687914,0.31569739447901246,1.5963566287976316,-0.024148309451290872,-0.1634058149107982,0.27037539503916297,2.2576802205370523,0.32692606136013636,2.159047201892714,0.17811274201543692,1.6971039885897876
12,10,4.0,5,0.42,20,0.2999680361671051,-0.19776119495102687,1.5168194965720576,1.0459486618379712,8.651218514687914,0.31569739447901246,1.5963566287976316,-0.013411751535982286,-0.09887606289261462,0.27385105435507184,2.314227822146778,0.32251577944917287,2.155559397659131,0.19474002978845095,1.7411640012889715
12,10,4.0,5,0.45,14,0.29003139593943805,-0.19970604847386017,1.452291496205738,1.006511016299429,8.182170805811209,0.3200052062771723,1.602381143298513,-0.05217704313612648,-0.29791018034540895,0.28119615365426065,2.097095590584351,0.3372156336095633,2.167184447079785,0.1823090578412172,1.6977127542719708
12,10,4.0,5,0.45,20,0.2968093133861558,-0.19776119495102687,1.5008470871126005,1.0459486618379712,8.651218514687914,0.31569739447901246,1.5963566287976316,-0.04090584539896558,-0.25360303294134956,0.281622146533796,2.3341147984959023,0.3297099215333714,2.161248761179352,0.1980101646793786,1.7416060067987174
12,10,4.0,9,0.42,14,0.32805358155238307,-0.12761004614613616,2.570750434309094,1.5365103186484568,13.562570852932463,0.401735039148408,3.148145865321215,0.04990152633089773,0.6994430108248948,0.10016618907921071,1.057877898875313,0.2648205872740965,2.5865634938833257,0.2338945637010068,3.7533753388663422
12,10,4.0,9,0.42,20,0.3283649442503147,-0.12761004614613616,2.5731903887432073,1.5365103186484568,13.562570852932463,0.401735039148408,3.148145865321215,0.06255791101791175,0.8768407872564744,0.10200047622726793,1.090619274707232,0.2612692427043146,2.5835463785414143,0.22230439373983346,3.6047040884537687
12,10,4.0,9,0.45,14,0.32511191386540084,-0.13113650991507064,2.4791868723359847,1.4355087442959333,12.286028059777559,0.4133565270248889,3.1521086484045937,0.0483994318682206,0.6652724575459102,0.10236972218062412,1.0618003397075064,0.2701154535973729,2.5910618087079897,0.23759016247956666,3.7553749815324076
12,10,4.0,9,0.45,20,0.32804796915374945,-0.12761004614613616,2.5707064534564643,1.5365103186484568,13.562570852932463,0.401735039148408,3.148145865321215,0.06008116613857939,0.8421255786683005,0.10223617340578062,1.091045091761516,0.26181800236594244,2.5840125897707313,0.22267575923107286,3.6049049219671017
12,10,4.0,14,0.42,14,0.2507106426503998,-0.24906143966062294,1.0066216713114005,1.1585969131181275,10.28033061055285,-0.01515482824116332,-0.06084775010460733,-0.0917642739349186,-0.4901156700936422,0.3324814691366904,1.5011249020439763,0.27105409299238237,1.7443129762977718,0.3536101132679177,3.2968145728358462
12,10,4.0,14,0.42,20,0.259102269952707,-0.24906143966062294,1.040314672177941,1.1585969131181275,10.28033061055285,-0.01515482824116332,-0.06084775010460733,-0.08938628546391547,-0.4773022886771574,0.33162162844131093,1.5116072868857169,0.2705228492561893,1.7438674057405108,0.404551570668662,3.7772840701495585
12,10,4.0,14,0.45,14,0.24627305241062802,-0.2615226530073754,0.9416891790390436,1.174690933876891,10.486612726844571,-0.015076872151942866,-0.06084778454388243,-0.13765521234909872,-0.6068275232174605,0.34814441123676665,1.3312208607295992,0.28061599378146673,1.7523327806032527,0.3635115956300592,3.3029581380579156
12,10,4.0,14,0.45,20,0.2542389930633675,-0.2606620902393887,0.9753585296192389,1.1585969131181275,10.28033061055285,-0.01515482824116332,-0.06084775010460733,-0.13601013947359708,-0.5950934153071624,0.3493397772145408,1.340201702877897,0.28133687756804515,1.7529373993730473,0.4173825695006783,3.785256736221707
12,15,2.0,5,0.42,14,0.24036383290554109,-0.2101435999618187,1.1438075342252305,0.9787832472162203,9.887106494358578,0.2490175220064661,1.1849874183734859,-0.03421253392087675,-0.24663287605137552,0.14956995127379202,1.1712756804636635,0.33127779577196637,1.982307285921049,0.10196209894396668,0.7392755781153802
12,15,2.0,5,0.42,20,0.24667556060912355,-0.2101435999618187,1.1738428420087141,0.9787832472162203,9.887106494358578,0.2490175220064661,1.1849874183734859,-0.02803650712523109,-0.22328881500890624,0.15560817868427135,1.2309097636828616,0.32747726651233156,1.9794239887607865,0.12481816796781686,0.852652980094675
12,15,2.0,5,0.45,14,0.23611552600272656,-0.21253376539756813,1.1109553607213711,0.9468116375431741,9.43879847623559,0.251854247385187,1.1850081652393705,-0.057384406866818116,-0.35449052772863043,0.15461466762089482,1.1655228239849933,0.3410306265492984,1.9897062526723392,0.10419462844071448,0.7392803368237109
12,15,2.0,5,0.45,20,0.24373308134603744,-0.2101435999618187,1.159840610850493,0.9787832472162203,9.887106494358578,0.2490175220064661,1.1849874183734859,-0.05068837047418173,-0.34413217520311296,0.15928129968849292,1.2378117367331456,0.3341967160427104,1.9845217319618442,0.12673292558700777,0.8526576226810795
12,15,2.0,9,0.42,14,0.24905638296138033,-0.14121353081263233,1.763686394130589,0.7289078715064077,5.707414943353827,0.4956166723810542,4.11258348736683,0.003067265592566537,0.04101609867887948,0.004244253476448634,0.034898691200388805,0.31964658486978803,2.2635691001445726,0.17755563303281208,2.4528663679606053
