sma,roc,atr_p,atr_m,reb,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
150,10,10,4.0,14,0.42,20,0.3090538481957579,1.3066169555653642,0.55250635235,0.23743684499481565,0.006030263852670359,0.2945308716641306,0.3920390846744468,0.39407657642919247
150,10,10,4.0,14,0.45,14,0.30226078923626387,1.2954102185407328,0.5752811260499999,0.2339976272034212,-0.05230632323806661,0.3089542995215402,0.4068525792827007,0.3891424339127103
150,10,10,4.0,14,0.45,20,0.30619930125764516,1.294548510368614,0.55250635235,0.23743684499481565,-0.025328658515390123,0.3040070615821029,0.4018072744032106,0.4010902888755141
150,10,10,5.0,5,0.42,14,0.2844831439927429,1.6572899701684813,0.642406518974999,0.24743610766908275,-0.1320446064108599,0.21137910485257372,0.34877997508309266,0.40484970295000977
150,10,10,5.0,5,0.42,20,0.2879281889073948,1.6674009638265666,0.5920901990249987,0.254929721804531,-0.11897176879347815,0.2132871806797294,0.35136758566865844,0.4346047772716033
150,10,10,5.0,5,0.45,14,0.2789956690777906,1.4426398792072186,0.5735027732249984,0.2578140535921074,-0.1535120233713826,0.2239946679663649,0.36573677680794625,0.419251513739358
150,10,10,5.0,5,0.45,20,0.2861125305007277,1.6236322422684262,0.5920901990249987,0.254929721804531,-0.1358667403800744,0.21745723294568942,0.35699414016855524,0.4397298562188283
150,10,10,5.0,9,0.42,14,0.31603726606201543,1.3046474468775846,0.4530821044583331,0.28449016221054135,-0.06568993303032666,0.42486014208008704,0.44901947042845536,0.374617480636001
150,10,10,5.0,9,0.42,20,0.3158134675096642,1.2673286315113046,0.4530821044583331,0.28449016221054135,-0.11334703793603784,0.44769613905711636,0.4656251179719386,0.4083750729405511
150,10,10,5.0,9,0.45,14,0.310397679187878,1.1430856377024468,0.3890553487749999,0.29759296378952405,-0.09917162030851367,0.45634089126889377,0.4717742533528593,0.3876881647218964
150,10,10,5.0,9,0.45,20,0.3131944753713869,1.1312154050511756,0.4530821044583331,0.28449016221054135,-0.14341905495995222,0.4634134229789961,0.47675054640383197,0.41507110752518805
150,10,10,5.0,14,0.42,14,0.290613524948218,1.0801969861994345,0.5866854376749997,0.15297239223624493,-0.050648918232286344,0.32027998672338587,0.393383169878212,0.4020237992905049
150,10,10,5.0,14,0.42,20,0.29586615626239254,1.0997207730438323,0.5866854376749997,0.15297239223624493,-0.021646046549217646,0.3107854276991904,0.3843950750181706,0.41161902965551045
150,10,10,5.0,14,0.45,14,0.2891746950225642,1.0905573422800847,0.6118645250000001,0.15057840658443,-0.07904049839213512,0.32561582579339143,0.3983797185186433,0.4056805798180063
150,10,10,5.0,14,0.45,20,0.2931847602546813,1.0897541485143891,0.5866854376749997,0.15297239223624493,-0.05113914817861476,0.3204454597117592,0.39353870773980804,0.41865509524417943
150,10,20,3.0,5,0.42,14,0.26331372535750286,1.1134175823984427,0.5958028722333326,0.13093467572589823,-0.18804537537658317,0.177549716695782,0.5539390399129465,0.38923886629128424
150,10,20,3.0,5,0.42,20,0.2670280159612364,1.1339645330398385,0.5454865522833328,0.13501447869045902,-0.1748414061123118,0.1795255203020356,0.5591789398918543,0.42158997672054066
150,10,20,3.0,5,0.45,14,0.25836457347271113,1.0035699429412555,0.5352659387833327,0.13587446284201277,-0.2087362176627775,0.18827012437772095,0.5821637617788269,0.4017646421264438
150,10,20,3.0,5,0.45,20,0.26556497588036954,1.1120278461575748,0.5454865522833328,0.13501447869045902,-0.189178617754727,0.18269994988189886,0.5675615147653412,0.4256187213101197
150,10,20,3.0,9,0.42,14,0.23360986843305898,0.9248173984789142,0.23718934269999958,0.4753485139204252,-0.09008391429100504,0.2855311201801223,0.3513108771073641,0.19022963467649157
150,10,20,3.0,9,0.42,20,0.23543372150169306,0.9320376887066162,0.23718934269999958,0.4753485139204252,-0.120312217785838,0.2953426937094259,0.3606446417566158,0.22426822056243867
150,10,20,3.0,9,0.45,14,0.23097107906331416,0.8804958551505706,0.18505240738333284,0.49624222959643394,-0.08668749484843852,0.29285269196289976,0.35828924410447804,0.19305729008474826
150,10,20,3.0,9,0.45,20,0.23610642324002917,0.9347007879830859,0.23718934269999958,0.4753485139204252,-0.11443422246008128,0.29338233907835276,0.3587910150807758,0.22340594997062846
150,10,20,3.0,14,0.42,14,0.27524044801775993,1.46331328920203,0.5456166414916663,0.3118295069248218,-0.06603093701753504,0.3279899404791269,0.3324188284834715,0.2448662038795486
150,10,20,3.0,14,0.42,20,0.2787383717786518,1.4819099684357389,0.5456166414916663,0.3118295069248218,-0.05922872104007382,0.32561841993691787,0.33058842908671005,0.25949977650546363
150,10,20,3.0,14,0.45,14,0.275774979378403,1.4865774688197986,0.5683914151916662,0.30729284963216497,-0.0716416726779533,0.326265170301945,0.3310882375466353,0.2441288738469749
150,10,20,3.0,14,0.45,20,0.2780502897436625,1.4782517866782525,0.5456166414916663,0.3118295069248218,-0.06565345463847638,0.3278574303054078,0.3323167212108722,0.26051940415861496
150,10,20,4.0,5,0.42,14,0.29039708427956,1.5822153317616277,0.6132627201416652,0.24488999472016992,-0.13793704547337138,0.20281923217112863,0.46862844741513765,0.3764976490984475
150,10,20,4.0,5,0.42,20,0.29376783681794083,1.590261407001316,0.5629464001916651,0.25243891879543257,-0.12474891789844411,0.20469890057355755,0.4722414545995297,0.40473250280596695
150,10,20,4.0,5,0.45,14,0.2850056162205685,1.4535846841623072,0.542505213741665,0.2556403236844602,-0.15950049570326574,0.2153237935657808,0.4924561973826087,0.38931585454283524
150,10,20,4.0,5,0.45,20,0.29206129645183476,1.5600857286851215,0.5629464001916651,0.25243891879543257,-0.14130323611775364,0.2086451722747773,0.4797906116202162,0.40910187794919395
150,10,20,4.0,9,0.42,14,0.28297557634843074,1.0366250669810275,0.2417321514249997,0.387121490389825,-0.07038451249297228,0.41492598794573277,0.4224116451842117,0.33487262418486785
