roc,reb,atr_m,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Ret_2020,Cal_2020,Ret_2021,Cal_2021,Ret_2022,Cal_2022,Ret_2023,Cal_2023,Ret_2024,Cal_2024,Ret_2025,Cal_2025
10,7,4.5,0.3,5,0.2939487286337177,1.3793279810696226,0.6564490401583334,8.56790619129821,0.15535788952221474,0.7642584842310451,0.04217798385761529,0.2700711068117929,0.07656064048231381,0.41246002417566524,0.5497568613340031,2.590633437001836,0.3103775284253585,2.9183705470362136
10,7,4.5,0.3,10,0.29723188762207653,1.4246019337981097,0.7222980630999998,9.232382747966062,0.1496895078475582,0.7602945321149513,0.0370367955880091,0.24079362972895055,0.0744458485653976,0.40964964254195174,0.5354968778263176,2.57742796500542,0.3067686748951348,2.9781442307889203
10,7,4.5,0.3,14,0.3014324797817727,1.4775905896816564,0.7853279950749998,10.215156259121345,0.14463817249980515,0.7567622558930773,0.03592984801731314,0.24009608012849432,0.07228018861884955,0.40677173881906487,0.5208426214800055,2.5638575526805387,0.3069140536459136,3.2043081153075397
10,7,4.5,0.3,20,0.30013875894663933,1.4712489050262667,0.7853279950749998,10.215156259121345,0.14463817249980515,0.7567622558930773,0.03592984801731314,0.24009608012849432,0.07228018861884955,0.40677173881906487,0.5208426214800055,2.5638575526805387,0.2994939508615637,3.3448758049841225
10,7,4.5,0.35,5,0.28690144449869037,1.2794869240612126,0.6564490401583334,8.56790619129821,0.15535788952221474,0.7642584842310451,-0.02569966226222753,-0.1771000314785325,0.08166376870265246,0.4181462808112171,0.5858922208158741,2.624097379279609,0.3234226894386121,2.924327245640753
10,7,4.5,0.35,10,0.2952671946898775,1.3956156726032447,0.7222980630999998,9.232382747966062,0.1496895078475582,0.7602945321149513,0.018393582816003784,0.13140287564458378,0.07556164617180872,0.4100429819976835,0.5448177653551485,2.586059563075585,0.31027157570099106,2.979768959650413
10,7,4.5,0.35,14,0.3017362165145516,1.4822317629514643,0.7853279950749998,10.215156259121345,0.14463817249980515,0.7567622558930773,0.03888215191522426,0.2855361481323839,0.0718275396730117,0.4050845897967545,0.5194800662859567,2.5625957825805092,0.30637876918742646,3.2040456712926297
10,7,4.5,0.35,20,0.3025725907682808,1.5084875243885596,0.7853279950749998,10.215156259121345,0.14463817249980515,0.7567622558930773,0.058952872935003287,0.4329776499891157,0.07045532599281223,0.4032625326878075,0.5101299003223785,2.553937268812413,0.2953623823935685,3.342709620688807
10,7,4.5,0.4,5,0.2817202633017377,1.236398152842541,0.6564490401583334,8.56790619129821,0.15535788952221474,0.7642584842310451,-0.03884301540233781,-0.2693335186479055,0.06487562794438584,0.32686380265724824,0.5978688153007061,2.6351888061015276,0.3099881478578559,2.7686398370935175
10,7,4.5,0.4,10,0.28995923413681823,1.3472366893671301,0.7222980630999998,9.232382747966062,0.1496895078475582,0.7602945321149513,0.0030184133232600274,0.02156146262824221,0.06016704146773777,0.32091963358151543,0.5565580796081704,2.5969317715581637,0.29778769286297835,2.8220893829961
10,7,4.5,0.4,14,0.29655316381120267,1.4329509158141616,0.7853279950749998,10.215156259121345,0.14463817249980515,0.7567622558930773,0.023966512094224957,0.1759860669298631,0.057174685531786285,0.31714223930194624,0.5301430796454321,2.5724701185522663,0.2942343045399003,3.0375864468988185
10,7,4.5,0.4,20,0.30012468146978666,1.4710353426770426,0.7853279950749998,10.215156259121345,0.14463817249980515,0.7567622558930773,0.042994553295296445,0.31574354483627926,0.05613160983352916,0.3158255491733706,0.5209056127499521,2.5639158846676415,0.2995180768500607,3.344888454159631
10,7,4.5,0.45,5,0.27205070363552153,1.1180131257869887,0.6094688514833331,7.63553442612003,0.15967170035007494,0.7672753067927623,-0.06366857148105243,-0.35391825033278174,0.030484492070638414,0.13914076836420045,0.6501787742983176,2.683634021906623,0.32191895969811934,2.7739409824306986
10,7,4.5,0.45,10,0.2852594722559594,1.2888711460715991,0.6753178744249999,8.577543508576444,0.15369022114023934,0.7630922473335356,-0.010453169491995817,-0.05971971622355646,0.062419524751539335,0.3237631472623476,0.5763588523061851,2.6152686890698518,0.3000348771549888,2.8222314446479086
10,7,4.5,0.45,14,0.2907930356866735,1.3465476101623999,0.6866475966499994,7.899575886677175,0.15270596850534313,0.762403946139581,0.01629260144842748,0.09745613441811694,0.0604342859141489,0.32125699614185976,0.5589110477103008,2.5991107695815967,0.3061782264869113,3.104055480121335
10,7,4.5,0.45,20,0.29608915423966664,1.4080331801747676,0.7853279950749998,10.215156259121345,0.14463817249980515,0.7567622558930773,0.002966935114942615,0.018531225972476476,0.058371778046061085,0.31865336903926755,0.540725553771036,2.582269965947407,0.3085422293125264,3.419440528350892
10,7,5.0,0.3,5,0.2964854384172231,1.3980880765797778,0.6959531243000001,9.075236683337176,0.14488755545079934,0.7028130563523531,0.02824802950995542,0.17253813361101178,0.07843138620977586,0.42520554476739786,0.5460591577105571,2.5858788073715218,0.3258736539590159,3.064567131966834
10,7,5.0,0.3,10,0.2997385723266368,1.443685127082774,0.7618021472416665,9.788277635070658,0.13971442662653621,0.6992931498503849,0.023616370614125914,0.14653147782325102,0.07626512819092435,0.4223059404378229,0.5319206170294177,2.5728007243818523,0.3219974806082295,3.126368387097687
10,7,5.0,0.3,14,0.3039013718686867,1.497010442217318,0.8248320792166661,10.783784963496437,0.13509735555608837,0.6961517386353749,0.022919459076722104,0.14611762189912586,0.07404675193203802,0.4193366555843313,0.5173897471893967,2.5593599119116712,0.3218651937745891,3.360521593847779
10,7,5.0,0.3,20,0.3026192169105806,1.4906945794457114,0.8248320792166661,10.783784963496437,0.13509735555608837,0.6961517386353749,0.022919459076722104,0.14611762189912586,0.07404675193203802,0.4193366555843313,0.5173897471893967,2.5593599119116712,0.31444119428104433,3.511639975651032
10,7,5.0,0.35,5,0.2895669843669302,1.2983672422186943,0.6959531243000001,9.075236683337176,0.14488755545079934,0.7028130563523531,-0.038119205223023034,-0.2465210064296072,0.083612806648526,0.4310371953509588,0.5815412985561443,2.618700349190688,0.33945088217143793,3.070989738753011
