roc,atr_p,atr_m,reb,mkt_t,mkt_s,Full_CAGR,Full_MaxDD,Full_Calmar,2020_CAGR,2020_Calmar,2020_Ret,2021_CAGR,2021_Calmar,2021_Ret,2022_CAGR,2022_Calmar,2022_Ret,2023_CAGR,2023_Calmar,2023_Ret,2024_CAGR,2024_Calmar,2024_Ret,2025_CAGR,2025_Calmar,2025_Ret
10,10,2.5,9,0.4,20,0.29993933939793105,-0.15884412579701063,1.8882620801554109,1.0007688014403104,9.507689992642469,0.653969626258333,0.45432783019297895,2.8602117195921464,0.44651936777319845,0.018783470044543504,0.20040389159426591,0.018562892046204205,0.07746017841092945,0.6351580635545921,0.07630535753647338,0.30215684581319313,5.216022066309209,0.3009807924875072,0.28105210585442997,6.26621914936643,0.27909901821206917
10,10,2.5,9,0.45,10,0.30269525334505065,-0.1602510714771682,1.8888813070318673,0.9755762192235353,9.175453715795786,0.6388335676749994,0.45836224834334915,2.8602757168375903,0.45047436763512594,-0.0030718301676353477,-0.02841174649039405,-0.0030361410802353106,0.07079833423878079,0.5108697998323538,0.06974601428537608,0.31256257359923945,5.2544360134661785,0.3113414014612377,0.3311369927069743,7.203894695844356,0.32879357706805457
10,10,2.5,9,0.45,14,0.30520736190868036,-0.15884412579701063,1.921426809945176,1.0007688014403104,9.507689992642469,0.653969626258333,0.45432783019297895,2.8602117195921464,0.44651936777319845,0.024359302650209136,0.25989335495772964,0.024072476711494373,0.06850267570495872,0.5858063793664596,0.06748554165876941,0.30301913153439886,5.219205306547111,0.3018393501090375,0.31414648300464565,6.989562554909929,0.3119367930452852
10,10,2.5,9,0.45,20,0.3032872805983897,-0.15884412579701063,1.9093389766642377,1.0007688014403104,9.507689992642469,0.653969626258333,0.45432783019297895,2.8602117195921464,0.44651936777319845,0.045949451660048934,0.4902421601258609,0.04540283311880233,0.07547041885431649,0.6346713888988399,0.07434627417174555,0.2948962601393117,5.189218574617467,0.2937515207244905,0.275814879552595,6.259712476852221,0.27390192402379787
10,10,2.5,9,0.5,10,0.28794386782997883,-0.1877290795698861,1.533826663880199,0.9755762192235353,9.175453715795786,0.6388335676749994,0.45836224834334915,2.8602757168375903,0.45047436763512594,-0.05445650895523391,-0.34627560802293095,-0.05384023472098676,0.07460179931833677,0.3973907478226605,0.0734910298428475,0.3282924525482269,5.312504046669808,0.327002543386,0.2943240488514052,6.181674215747175,0.29226867534073264
10,10,2.5,9,0.5,14,0.2955968886420457,-0.1604103407902993,1.8427545704704449,1.0007688014403104,9.507689992642469,0.653969626258333,0.45432783019297895,2.8602117195921464,0.44651936777319845,-0.026728568510025585,-0.2023754844514526,-0.026421704068167684,0.07205729335726652,0.4492060362334454,0.0709856475616748,0.31778047183622005,5.27369836192408,0.3165365691463491,0.30639635888351235,6.586694020485147,0.3042472222868424
10,10,2.5,9,0.5,20,0.29695462049247845,-0.15884412579701063,1.8694718423013097,1.0007688014403104,9.507689992642469,0.653969626258333,0.45432783019297895,2.8602117195921464,0.44651936777319845,-0.005151132706529227,-0.039001825951380756,-0.005091347660859724,0.07930281462403332,0.6033375846730554,0.07811953938508553,0.30885860521554176,5.2407624244948225,0.3076535256706463,0.28583539048236184,6.272161650398749,0.28384553484476527
10,10,2.5,13,0.4,10,0.21855536197071945,-0.20193822659451038,1.0822882108872636,0.4287200412233554,3.6203639579371423,0.29544466623333254,0.07008612263517744,0.347067139377774,0.06904472631730907,-0.0495789284941599,-0.4025911568281376,-0.0490164116004399,0.45048077261176145,3.095293152549756,0.44274789336990517,0.42802299565398405,2.5189029233399998,0.42628281213087993,0.12317959562238201,1.3151800073453348,0.12237615064998963
10,10,2.5,13,0.4,14,0.22786274847752463,-0.1905762841212938,1.1956511248403792,0.563846342515421,5.122749507849114,0.38322783256666604,0.06583584083257099,0.3454566298011627,0.06485949410810066,-0.00938943292533656,-0.11493300681751795,-0.00928068730536169,0.4076311417327616,2.976488703011198,0.4007303202277084,0.3987328442459519,2.493662614548751,0.3971274411831731,0.11478755437179489,1.2861975614990242,0.11404157957296213
10,10,2.5,13,0.4,20,0.23339636990941082,-0.1905762841212938,1.2246873790490314,0.563846342515421,5.122749507849114,0.38322783256666604,0.06583584083257099,0.3454566298011627,0.06485949410810066,-0.008002894537790461,-0.09796083957208507,-0.007910143209940435,0.3870916055281235,2.7944624512060017,0.38058313685126866,0.4040462536241376,2.498241450467011,0.40241655444883495,0.15514824972699937,1.722712393406694,0.15412238815157875
